No,ID,Keterangan,Pexels_Page,Direct_Image_URL
1,12039633,White t-shirt on light plain background,https://www.pexels.com/photo/white-t-shirt-on-white-surface-12039633/,https://images.pexels.com/photos/12039633/pexels-photo-12039633.jpeg?auto=compress&cs=tinysrgb&w=1600
2,6046231,White t-shirt flat lay on white,https://www.pexels.com/photo/white-cotton-t-shirt-in-studio-6046231/,https://images.pexels.com/photos/6046231/pexels-photo-6046231.jpeg?auto=compress&cs=tinysrgb&w=1600
3,6046205,Black t-shirt flat lay on white,https://www.pexels.com/photo/black-shiny-t-shirt-with-short-sleeves-against-white-background-6046205/,https://images.pexels.com/photos/6046205/pexels-photo-6046205.jpeg?auto=compress&cs=tinysrgb&w=1600
4,12025472,White t-shirt mockup/plain background,https://www.pexels.com/photo/a-blank-white-shirt-12025472/,https://images.pexels.com/photos/12025472/pexels-photo-12025472.jpeg?auto=compress&cs=tinysrgb&w=1600
5,8532616,Black t-shirt on hanger,https://www.pexels.com/photo/black-t-shirt-hanging-on-white-wall-8532616/,https://images.pexels.com/photos/8532616/pexels-photo-8532616.jpeg?auto=compress&cs=tinysrgb&w=1600
6,8532611,T-shirt on hanger with minimal background,https://www.pexels.com/photo/a-person-holding-a-clothes-hanger-with-a-blank-shirt-label-8532611/,https://images.pexels.com/photos/8532611/pexels-photo-8532611.jpeg?auto=compress&cs=tinysrgb&w=1600
7,8148577,Orange t-shirt on hanger,https://www.pexels.com/photo/person-holding-orange-t-shirt-on-hanger-8148577/,https://images.pexels.com/photos/8148577/pexels-photo-8148577.jpeg?auto=compress&cs=tinysrgb&w=1600
8,11671964,White t-shirt on rack,https://www.pexels.com/photo/white-t-shirt-hanging-on-a-rack-11671964/,https://images.pexels.com/photos/11671964/pexels-photo-11671964.jpeg?auto=compress&cs=tinysrgb&w=1600
9,20669538,White t-shirt on hanger studio,https://www.pexels.com/photo/hand-holds-hanger-with-t-shirt-20669538/,https://images.pexels.com/photos/20669538/pexels-photo-20669538.jpeg?auto=compress&cs=tinysrgb&w=1600
10,18256097,White sports t-shirt on hanger,https://www.pexels.com/photo/t-shirt-on-a-hanger-18256097/,https://images.pexels.com/photos/18256097/pexels-photo-18256097.jpeg?auto=compress&cs=tinysrgb&w=1600
11,18257675,Simple white t-shirt hanging,https://www.pexels.com/photo/white-t-shirt-hanging-on-a-hanger-18257675/,https://images.pexels.com/photos/18257675/pexels-photo-18257675.jpeg?auto=compress&cs=tinysrgb&w=1600
12,22441292,White shirt on branch/hanger,https://www.pexels.com/photo/shirt-on-hanger-on-branch-22441292/,https://images.pexels.com/photos/22441292/pexels-photo-22441292.jpeg?auto=compress&cs=tinysrgb&w=1600
13,22441295,White shirt on wooden hanger,https://www.pexels.com/photo/white-shirt-on-hanger-on-branch-22441295/,https://images.pexels.com/photos/22441295/pexels-photo-22441295.jpeg?auto=compress&cs=tinysrgb&w=1600
14,22441278,White shirt displayed on branch,https://www.pexels.com/photo/shirt-on-hanger-on-branch-22441278/,https://images.pexels.com/photos/22441278/pexels-photo-22441278.jpeg?auto=compress&cs=tinysrgb&w=1600
15,22441291,Beige shirt on hanger,https://www.pexels.com/photo/shirt-on-hanger-on-branch-22441291/,https://images.pexels.com/photos/22441291/pexels-photo-22441291.jpeg?auto=compress&cs=tinysrgb&w=1600
16,20129409,White shirt on wall hanger,https://www.pexels.com/photo/a-shirt-on-a-coat-hanger-20129409/,https://images.pexels.com/photos/20129409/pexels-photo-20129409.jpeg?auto=compress&cs=tinysrgb&w=1600
17,28576622,Minimalist white shirt on hanger,https://www.pexels.com/photo/minimalist-white-shirt-hanging-on-hanger-28576622/,https://images.pexels.com/photos/28576622/pexels-photo-28576622.jpeg?auto=compress&cs=tinysrgb&w=1600
18,2112648,White t-shirts on black hangers,https://www.pexels.com/photo/hanged-white-shirts-on-black-clothes-hangers-2112648/,https://images.pexels.com/photos/2112648/pexels-photo-2112648.jpeg?auto=compress&cs=tinysrgb&w=1600
19,26608189,Graphic t-shirts on hangers,https://www.pexels.com/photo/t-shirts-on-hangers-26608189/,https://images.pexels.com/photos/26608189/pexels-photo-26608189.jpeg?auto=compress&cs=tinysrgb&w=1600
20,30710507,Blue polo shirt product-style close-up,https://www.pexels.com/photo/close-up-of-blue-polo-shirt-with-text-design-30710507/,https://images.pexels.com/photos/30710507/pexels-photo-30710507.jpeg?auto=compress&cs=tinysrgb&w=1600
21,2324364,Blue polo shirt,https://www.pexels.com/photo/men-s-blue-polo-shirt-2324364/,https://images.pexels.com/photos/2324364/pexels-photo-2324364.jpeg?auto=compress&cs=tinysrgb&w=1600
22,11100267,Polo shirts close-up,https://www.pexels.com/photo/close-up-shot-of-polo-shirts-on-blue-surface-11100267/,https://images.pexels.com/photos/11100267/pexels-photo-11100267.jpeg?auto=compress&cs=tinysrgb&w=1600
23,6256276,White t-shirt on model,https://www.pexels.com/photo/woman-wearing-white-t-shirt-6256276/,https://images.pexels.com/photos/6256276/pexels-photo-6256276.jpeg?auto=compress&cs=tinysrgb&w=1600
24,8532638,Black t-shirt hanging on wall,https://www.pexels.com/photo/black-t-shirt-hanging-on-white-wall-8532638/,https://images.pexels.com/photos/8532638/pexels-photo-8532638.jpeg?auto=compress&cs=tinysrgb&w=1600
25,9558567,Black shirt on model,https://www.pexels.com/photo/woman-wearing-black-shirt-9558567/,https://images.pexels.com/photos/9558567/pexels-photo-9558567.jpeg?auto=compress&cs=tinysrgb&w=1600
26,39457659,White shirt on woman,https://www.pexels.com/photo/woman-in-white-shirt-39457659/,https://images.pexels.com/photos/39457659/pexels-photo-39457659.jpeg?auto=compress&cs=tinysrgb&w=1600
27,39457806,White shirt/back view,https://www.pexels.com/photo/woman-in-white-shirt-39457806/,https://images.pexels.com/photos/39457806/pexels-photo-39457806.jpeg?auto=compress&cs=tinysrgb&w=1600
28,6311252,White t-shirt back view,https://www.pexels.com/photo/man-in-white-t-shirt-6311252/,https://images.pexels.com/photos/6311252/pexels-photo-6311252.jpeg?auto=compress&cs=tinysrgb&w=1600
29,39457678,Oversized white t-shirt,https://www.pexels.com/photo/woman-in-oversized-white-shirt-39457678/,https://images.pexels.com/photos/39457678/pexels-photo-39457678.jpeg?auto=compress&cs=tinysrgb&w=1600
30,20441996,Black t-shirt on male model,https://www.pexels.com/photo/man-wearing-black-shirt-20441996/,https://images.pexels.com/photos/20441996/pexels-photo-20441996.jpeg?auto=compress&cs=tinysrgb&w=1600
31,39457526,White shirt/back view,https://www.pexels.com/photo/woman-in-white-shirt-39457526/,https://images.pexels.com/photos/39457526/pexels-photo-39457526.jpeg?auto=compress&cs=tinysrgb&w=1600
32,4065141,White long sleeve shirt,https://www.pexels.com/photo/man-in-white-long-sleeved-shirt-4065141/,https://images.pexels.com/photos/4065141/pexels-photo-4065141.jpeg?auto=compress&cs=tinysrgb&w=1600
33,39457480,Yellow t-shirt,https://www.pexels.com/photo/woman-in-yellow-t-shirt-39457480/,https://images.pexels.com/photos/39457480/pexels-photo-39457480.jpeg?auto=compress&cs=tinysrgb&w=1600
34,6589324,White shirt paper cutout,https://www.pexels.com/photo/paper-shirt-on-blue-background-6589324/,https://images.pexels.com/photos/6589324/pexels-photo-6589324.jpeg?auto=compress&cs=tinysrgb&w=1600
35,6311251,White t-shirt on man,https://www.pexels.com/photo/man-in-white-t-shirt-6311251/,https://images.pexels.com/photos/6311251/pexels-photo-6311251.jpeg?auto=compress&cs=tinysrgb&w=1600
36,974030,White shirt portrait,https://www.pexels.com/photo/man-removing-shirt-974030/,https://images.pexels.com/photos/974030/pexels-photo-974030.jpeg?auto=compress&cs=tinysrgb&w=1600
37,39457534,White shirt/back view,https://www.pexels.com/photo/woman-in-white-shirt-39457534/,https://images.pexels.com/photos/39457534/pexels-photo-39457534.jpeg?auto=compress&cs=tinysrgb&w=1600
38,9558574,Pink shirt on model,https://www.pexels.com/photo/man-wearing-pink-shirt-9558574/,https://images.pexels.com/photos/9558574/pexels-photo-9558574.jpeg?auto=compress&cs=tinysrgb&w=1600
39,6786614,White t-shirt on model,https://www.pexels.com/photo/woman-wearing-white-shirt-6786614/,https://images.pexels.com/photos/6786614/pexels-photo-6786614.jpeg?auto=compress&cs=tinysrgb&w=1600
40,6787008,White t-shirts on models,https://www.pexels.com/photo/people-wearing-white-t-shirts-6787008/,https://images.pexels.com/photos/6787008/pexels-photo-6787008.jpeg?auto=compress&cs=tinysrgb&w=1600
41,4065871,White t-shirts on people,https://www.pexels.com/photo/people-in-white-t-shirts-4065871/,https://images.pexels.com/photos/4065871/pexels-photo-4065871.jpeg?auto=compress&cs=tinysrgb&w=1600
42,8532607,White shirt on woman,https://www.pexels.com/photo/woman-wearing-white-shirt-8532607/,https://images.pexels.com/photos/8532607/pexels-photo-8532607.jpeg?auto=compress&cs=tinysrgb&w=1600
43,17583618,Graphic white t-shirts on models,https://www.pexels.com/photo/men-in-white-t-shirts-17583618/,https://images.pexels.com/photos/17583618/pexels-photo-17583618.jpeg?auto=compress&cs=tinysrgb&w=1600
44,17858295,White t-shirt studio shot,https://www.pexels.com/photo/standing-man-in-jeans-and-white-t-shirt-17858295/,https://images.pexels.com/photos/17858295/pexels-photo-17858295.jpeg?auto=compress&cs=tinysrgb&w=1600
45,6311639,Gray t-shirt on white background,https://www.pexels.com/photo/black-man-holding-t-shirt-standing-against-white-background-6311639/,https://images.pexels.com/photos/6311639/pexels-photo-6311639.jpeg?auto=compress&cs=tinysrgb&w=1600
46,2096476,White polo shirt on model,https://www.pexels.com/photo/man-wearing-white-polo-shirt-2096476/,https://images.pexels.com/photos/2096476/pexels-photo-2096476.jpeg?auto=compress&cs=tinysrgb&w=1600
47,38936019,White t-shirt on woman,https://www.pexels.com/photo/smiling-young-woman-in-casual-wear-posing-38936019/,https://images.pexels.com/photos/38936019/pexels-photo-38936019.jpeg?auto=compress&cs=tinysrgb&w=1600
48,18186105,Black and white t-shirts folded,https://www.pexels.com/photo/basic-black-and-white-t-shirts-18186105/,https://images.pexels.com/photos/18186105/pexels-photo-18186105.jpeg?auto=compress&cs=tinysrgb&w=1600
49,19373931,Black t-shirt on model,https://www.pexels.com/photo/portrait-of-thinking-man-19373931/,https://images.pexels.com/photos/19373931/pexels-photo-19373931.jpeg?auto=compress&cs=tinysrgb&w=1600
50,33176051,White t-shirt with logo on plain background,https://www.pexels.com/photo/portrait-of-a-woman-in-a-white-t-shirt-with-logo-33176051/,https://images.pexels.com/photos/33176051/pexels-photo-33176051.jpeg?auto=compress&cs=tinysrgb&w=1600
